"統計年月","縣市","行政區域","售電量度數"
"10305","臺北市","萬華區興德里",1114866
"10305","臺北市","萬華區忠德里",865603
"10305","臺北市","萬華區忠貞里",847077
"10305","臺北市","文山區博嘉里",1291147
"10305","臺北市","文山區華興里",2277450
"10305","臺北市","文山區景東里",1329321
"10305","臺北市","文山區景華里",1249030
"10305","臺北市","文山區景美里",841532
"10305","臺北市","文山區景慶里",910832
"10305","臺北市","文山區景仁里",919983
"10305","臺北市","文山區景行里",1782236
"10305","臺北市","文山區老泉里",181959
"10305","臺北市","文山區明興里",1336358
"10305","臺北市","文山區明義里",895968
"10305","臺北市","文山區木柵里",2036955
"10305","臺北市","文山區木新里",1847442
"10305","臺北市","文山區試院里",1671671
"10305","臺北市","文山區順興里",1381919
"10305","臺北市","文山區萬芳里",1828633
"10305","臺北市","文山區萬和里",785926
"10305","臺北市","文山區萬隆里",1293047
"10305","臺北市","文山區萬美里",1615813
"10305","臺北市","文山區萬年里",1033966
"10305","臺北市","文山區萬盛里",1366527
"10305","臺北市","文山區萬祥里",1033032
"10305","臺北市","文山區萬興里",1935192
"10305","臺北市","文山區萬有里",1123397
"10305","臺北市","文山區興安里",1591203
"10305","臺北市","文山區興邦里",1152131
"10305","臺北市","文山區興昌里",1665083
"10305","臺北市","文山區興得里",1468105
"10305","臺北市","文山區興豐里",1193834
"10305","臺北市","文山區興福里",1130573
"10305","臺北市","文山區興光里",986403
"10305","臺北市","文山區興家里",1405619
"10305","臺北市","文山區興泰里",1126648
"10305","臺北市","文山區興旺里",1914068
"10305","臺北市","文山區興業里",1387559
"10305","臺北市","文山區樟腳里",1172493
"10305","臺北市","文山區樟林里",1114513
"10305","臺北市","文山區樟樹里",910663
"10305","臺北市","文山區樟文里",1213702
"10305","臺北市","文山區樟新里",1138795
"10305","臺北市","文山區政大里",1980204
"10305","臺北市","文山區指南里",1010335
"10305","臺北市","文山區忠順里",954653
"10305","臺北市","信義區安康里",3942733
"10305","臺北市","信義區大道里",1427858
"10305","臺北市","信義區大仁里",838283
"10305","臺北市","信義區敦厚里",1296120
"10305","臺北市","信義區富台里",1049609
"10305","臺北市","信義區廣居里",1856400
"10305","臺北市","信義區國業里",1587409
"10305","臺北市","信義區惠安里",1629760
"10305","臺北市","信義區嘉興里",798727
"10305","臺北市","信義區景聯里",1272944
"10305","臺北市","信義區景勤里",894173
"10305","臺北市","信義區景新里",2020404
"10305","臺北市","信義區黎安里",215849
"10305","臺北市","信義區黎平里",1829604
"10305","臺北市","信義區黎順里",1166517
"10305","臺北市","信義區黎忠里",1025339
"10305","臺北市","信義區六合里",2000142
"10305","臺北市","信義區六藝里",802863
"10305","臺北市","信義區三犁里",1966925
"10305","臺北市","信義區三張里",2710069
"10305","臺北市","信義區雙和里",1718145
"10305","臺北市","信義區四維里",1089718
"10305","臺北市","信義區四育里",1377308
"10305","臺北市","信義區松光里",1162372
"10305","臺北市","信義區松隆里",475393
"10305","臺北市","信義區松友里",1275281
"10305","臺北市","信義區泰和里",1952290
"10305","臺北市","信義區五常里",983402
"10305","臺北市","信義區五全里",1142381
"10305","臺北市","信義區西村里",919806
"10305","臺北市","信義區新仁里",1043631
"10305","臺北市","信義區興隆里",886891
"10305","臺北市","信義區興雅里",1519023
"10305","臺北市","信義區雅祥里",1188177
"10305","臺北市","信義區永春里",1228399
"10305","臺北市","信義區永吉里",1201530
"10305","臺北市","信義區長春里",1180408
"10305","臺北市","信義區正和里",1252916
"10305","臺北市","信義區中坡里",944382
"10305","臺北市","信義區中行里",1579742
"10305","臺北市","信義區中興里",1520469
"10305","臺北市","中山區北安里",522944
"10305","臺北市","中山區成功里",2881386
"10305","臺北市","中山區大佳里",277302
"10305","臺北市","中山區大直里",2362529
"10305","臺北市","中山區復華里",1867188
"10305","臺北市","中山區恆安里",2036117
"10305","臺北市","中山區集英里",2463371
"10305","臺北市","中山區劍潭里",842586
"10305","臺北市","中山區江寧里",1933661
"10305","臺北市","中山區江山里",2122923
"10305","臺北市","中山區金泰里",2604489
"10305","臺北市","中山區聚盛里",2043371
"10305","臺北市","中山區聚葉里",1519931
"10305","臺北市","中山區康樂里",1164573
"10305","臺北市","中山區力行里",2404322
"10305","臺北市","中山區龍洲里",1033166
"10305","臺北市","中山區民安里",1870407
"10305","臺北市","中山區埤頭里",1030264
