"統計年月","縣市","行政區域","售電量度數","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得中位數","綜合所得IQR","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","有偶人數","有偶比例","離婚人數","離婚比例","未婚比例","每戶平均用電度數","每人平均用電度數"
10305,"臺北市","大安區龍坡里",801225,5122,0.2556,0.4024,0.3421,2098,3371457,1015,1559,2296,6286,0.5339,0.4661,0.2482,0.2199,0.3793,0.1524,8,4,4,6,2,1627,"70.71%",165,"7.17%","13.30%",348.97,127.46
10305,"臺北市","大安區龍泉里",1214669,4257,0.2095,0.3831,0.4073,1769,2646318,902,1335,2006,5144,0.5395,0.4603,0.2465,0.2568,0.3703,0.1264,5,5,0,7,0,1352,"66.24%",152,"7.45%","17.49%",605.52,236.13
10305,"臺北市","大安區龍生里",1430200,5839,0.1976,0.4001,0.4023,2406,3844288,974,1472,2598,7272,0.5351,0.4649,0.275,0.2318,0.3683,0.1249,8,6,2,7,2,1862,"71.12%",181,"6.91%","13.94%",550.5,196.67
10305,"臺北市","大安區龍圖里",1773518,6159,0.1781,0.4049,0.417,2579,3951543,879,1337,2804,7106,0.5305,0.4696,0.2049,0.2572,0.3839,0.1541,9,1,8,11,3,1822,"64.70%",236,"8.38%","17.86%",632.5,249.58
10305,"臺北市","大安區龍淵里",1727066,8071,0.2176,0.3913,0.3912,3214,4963868,949,1458,3490,10418,0.5255,0.4745,0.2948,0.2354,0.351,0.1188,22,12,10,11,3,2558,"73.27%",242,"6.93%","11.09%",494.86,165.78
10305,"臺北市","大安區龍雲里",1585698,4453,0.1655,0.3851,0.4494,1849,3784560,866,1440,1913,5168,0.5379,0.4621,0.2098,0.2446,0.3804,0.1652,4,1,3,5,0,1256,"65.93%",161,"8.45%","14.96%",828.91,306.83
10305,"臺北市","大安區龍陣里",980589,3274,0.1643,0.3965,0.4392,1316,2142320,931,1279,1478,3696,0.5173,0.4827,0.1907,0.2541,0.3831,0.1721,5,3,2,6,0,998,"67.75%",106,"7.20%","16.84%",663.46,265.31
10305,"臺北市","大安區民輝里",2466224,6295,0.1733,0.3909,0.4357,2672,7707147,921,1607,2850,7009,0.5245,0.4754,0.1819,0.2443,0.3999,0.1738,6,2,4,12,4,1781,"61.58%",308,"10.65%","17.19%",865.34,351.87
10305,"臺北市","大安區民炤里",2766257,7177,0.2068,0.4162,0.377,3162,6972734,969,1584,3192,8460,0.5349,0.465,0.2213,0.2248,0.3838,0.17,3,2,1,11,0,2193,"68.45%",224,"6.99%","14.67%",866.62,326.98
10305,"臺北市","大安區全安里",1400180,4027,0.1721,0.4331,0.3948,1731,4387141,889,1425,1820,4608,0.5386,0.4614,0.1806,0.2622,0.3919,0.1654,9,4,5,8,0,1202,"65.90%",168,"9.21%","15.63%",769.33,303.86
10305,"臺北市","大安區群賢里",2035333,5468,0.1712,0.4128,0.4161,2296,3702710,826,1294,2482,6170,0.546,0.454,0.1857,0.2611,0.3945,0.1588,11,7,4,12,1,1573,"62.92%",257,"10.28%","16.48%",820.04,329.88
10305,"臺北市","大安區群英里",1545641,6535,0.1763,0.4109,0.4129,2486,3127288,820,1205,3032,7536,0.5345,0.4656,0.1972,0.2513,0.4185,0.133,10,4,6,12,3,1840,"60.91%",334,"11.06%","16.82%",509.78,205.1
10305,"臺北市","大安區仁愛里",3019484,4827,0.1589,0.4392,0.4019,2243,6586206,946,1787,2214,5608,0.5515,0.4485,0.1944,0.2213,0.3968,0.1876,7,3,4,4,1,1389,"62.40%",223,"10.02%","17.83%",1363.81,538.42
